PO_Number,Date,Vendor_Name,Description,Quantity
062701-02,6/27/2020,GENERAL  SURFACE  HARDENING,MATERIAL  :4140 AN | P/N N020197 BUSHING 1 ea | TEMPER TO 22-25 Rc | NO CERTIFICATION,1
120716-01,12/7/2016,Automatic Anodizing,P/N  2600347 SPACER | MATERIAL 6061 | Finish Conversion coating  Composition I Yellow | NEED CERTIFICAT PLEASE !,195
041717-01,4/17/2017,PRECISE ROTARY DIE,P/N N066879 POPPET | MATERIAL : 4130  56Rc 1 ea | 3 step grinding | ID 105H8  (4.1360 // 4.1350//4.1340)  @ 3.2Texture 150 / ea | OD 35e7  (1.3760 // 1.3755 // 1.3750 )  @ 0.8 Texture | OD 124.90/124.80 (2.5587 //4.9150// 2.5579 )  @ 0.4 Texture  0.0002 CONCENTRIC | RUSH please,1
022216-02,2/22/2016,PRECISE ROTARY DIE,MATERIAL  4140  (23 RC) P/N H319551 _GRINDING | 185g6 OD ALL OVER (AT 0.8 TESTURE)    7.2829/7.2817 MID DIM (7.2823) 1ea | 125H8 ID (AT 0.4 SURFACE TEXTURE 4.9237/4.9213 MID 4.9225 OUT OF 4 | 120H7 ID (AT 0.8 TEXTURE) 4.7258/4.7244 MID 4.7250,1
062814-01,6/28/2014,"NOVA CHROME Inc,","MATERIAL  : 4140 - 40-45 Rc | P/N 2588757 WRENCH    74 ea | Finish: Chromium Plate Class 1 , Type 2 | SPEC QQ-C-320 | CERTIFICATION REQUIRED | Please include Part Number  On the Certs",74
120123-01,12/1/2023,PRECISE ROTARY DIE,P/N L589136 PISTON | MATERIAL : 1045 NORM 1 EA | 2 STEP OD  GRINDING 200/ea | 150F7 (5.9035 // 5.9030 // 5.9025 ) at 0.8 texture 5.9030 +/- .0005 | 110f7 (4.3280 // 4.3275 // 4.3270) at 0.8 texture 4.3275 +/- .0005 | Please brake the groves corners max  .005,1
012519-01,1/25/2019,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN (all 3 items) | P/N  N066879 POPPET (LOCAL CASE HARDEN TO 56 Rc +/- 2) 2ea | P/N  N066971 POPPET  (LOCAL CASE HARDEN TO 56 Rc +/- 2) 2 ea | P/N  6R893601 POPPET (All over except the 2 grooves Case Harden to 56 Rc +/-2) 1 ea | (Please test the ends on 6R893601) | PLEASE TEST HARDNESS ON THE BIG DIAMETER  FOR FIRST 2 | NO CERTS,5
012819-01,1/28/2019,GENERAL  SURFACE  HARDENING,MATERIAL  : 4140 AN | P/N  637R3601 SHAFT 29 ea | Quench and temper to 30 Rc  +/- 2 | no cleaning needed | NO CERTS,29
121218-01,12/12/2018,DELTA GRINDING,N077168 SHAFT | OD GFRINDING  TO 1.417 +/- .003,4
020123-01,2/1/2023,GENERAL  SURFACE  HARDENING,"MATERIAL  : 4140 ANN | P/N 11628921 -GUIDE , SPRING 660 ea | Quench and temper to 30-38 Rc | Cartification Required!",660
71615-637R3601,7/16/2015,PRECISE ROTARY DIE,MATERIAL  : 4140  PH | 24.8 +/-0.1  MM           ( .9760 +/-.0035)     RIGHT SIDE KISS 60 pcs | 30js6 (1.1814 // 1.1811 // 1.1808) LEFT SIDE KISS                           1.1811 +/- .0003 | 22h6 (.8661 // .8659 // .8656 ) .8659 +/- .0002 50 $ ea | 20h6 (.7874 //.7871 //.7869 .7871 +/- .0003 | 43 +/- .1    (1.695 // 1.690)                                                         1.693 +/- .002,60
092515-01,9/25/2015,DELTA GRINDING,SLEEVE .695X.47 | Need OD Grinding to 0.6875 / .6865 330ea,330
040921-01,4/9/2021,DELTA GRINDING,SLEEVE .694 X .47 | Need OD Grinding to 0.6875 / .6865 270 ea,270
041717-02,4/17/2017,PRECISE ROTARY DIE,P/N N054085 SLEEVE | MATERIAL : 4140 PH 2 ea | 2 step grinding | ID 45H9  (1.7740 // 1.7730 // 1.7720)  @ 0.8 Texture 150 / ea | ID 130H7  (5.1195 //5.1190 // 5.1185 )  @ 0.8 Texture  0.0002 CONCENTRIC WITH 45H9 | OD 185g6 (7.2829 // 7.2825 // 7.2820 )  @ 0.4 Texture | Need 1 RUSH please,2
092916-01,9/26/2016,PRECISE ROTARY DIE,N037295 PISTON SHORT | MATERIAL  CAST IRON 1 ea | 2 OD GRINDINGS | 240e7 (9.4448 // 9.4440 //9.4431) | 150e7 (5.9022 // 5.9015 // 5.9006) 350/ea,1
093016-02,9/30/2016,PRECISE ROTARY DIE,9W306305 PIN (NEED 6 FOR MONDAY PLEASE) | MATERIAL  H13 -45 Rc 8 ea | 1 STEP (Please pre grind to 3.945 first to be able to correct the centers if needed) | 100f6 (3.9355 //3.9350 //3.9347 ) WITHIN .001 CONC WITH THE SLOT),8
031616-01,5/25/2016,PRECISE ROTARY DIE,MATERIAL  : 6061 ALUM | P/N F003700019 | TURNED TO SIZE: NO GROOVES,1
031616-01,5/25/2016,PRECISE ROTARY DIE,MATERIAL  : 6061 ALUM | P/N F003700020 | TURNED TO SIZE: COMPLETE PER PRINT,1
112217-01,11/22/2017,DELTA GRINDING,N02477 | Need OD Grinding  TO 1.1795 /1.1798 2ea | Parts go to Nova Chrome,2
051617-02,5/16/2017,PRECISE ROTARY DIE,P/N N084787 POPPET | MATERIAL : 4130  -50 Rc 3 ea | 2 step grinding | OD 70 -.1/-.12  ( 2.7519 // 2.7511)         2.7515 +/- .0004 | ID 59H8 ( 2.3246 // 2.3237 // 2.3228 ) @ 0.8 Texure    (2.3237 +/- .0007) 75/ea | BOTH CONCENTRIC WITHIN                  .0002   (will be ok .0005  ),3
121316-01,12/13/2016,"NOVA CHROME Inc,",If possible next day .. Please let me know THANK YOU | MATERIAL  :N074299 SHAFT 4 ea | FLASH CHROME .0003 TO .0005 WALL  (ON THE BIG DIAM - 1.770 IN - Diam only ) | NOTHING  INSIDE THE HOLE OR ON THE AND THREAD PLEASE NOR THE THREAD SIDE | ONLY ON THE BIG OD | No certs,4
031523-01,3/15/2023,Skild Plating Co.,Material  303 SS | P/N  10656930 ADAPTER REV A 450 ea | PASSIVATE PER IAW ASTM A967 -DO NOT USE NITRIC 1 SOLUTION | CERT REQUIRED PLEASE,450
090817-01,9/8/2017,DELTA GRINDING,9W331104 4 ea | Need OD Grinding  TO 1.7700  +/- .0002,4
090707-01,9/7/2017,DELTA GRINDING,11629998 PLUG 309ea | Need OD Grinding  TO .5329 /.5327,309
081820-01,8/18/2020,DELTA GRINDING,PLEASE RUSH | 8769015 ROLLER | Need OD Grinding  TO  1.250 / 1.249  (63 texture) 510 a | ID     .875 /.874  (63 texture) | OD and ID are concentric now (DWG asks for .001 TIR),510
012224-01,1/22/2024,"Expert Metal Finishing, Inc",P/N : 12316549 COVER | MATERIAL 1018 85 ea | CLAN PER SPEC  TT-C-490 TIPE I,85
070725-02,7/7/2025,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN | P/N  97027645 BUSHING MACHINE | HARDEN  TO 35 - 40 Rc (carfuly handle please; to prevent thread damaging) 33 ea | CLEAN AFTER IF NEEDED (thin blast please ) | CERTS REQUIRED,33
