PO_Number,LineItem_ID,Part_Number,Description,Quantity,Unit_Price,Due_Date,Status
43230,1,438S5707,438S5707 [SPACER FOR PLUNGER UNIT],1,310.00,2018-06-13,Completed
98408,1,9W331301,9W331301 [COVER FOR DC500J- MS],1,325.00,2021-11-10,Completed
98408,2,9W331104,9W331104 [GUIDE SHAFT DBS500~800MS],2,2200.00,2021-11-10,Completed
106036,1,Y132076,Y132076 [ELECTRODE PROBE CHROME],8,65.00,2022-06-06,Completed
116225,1,S571163,S571163 [LINER FOR S-SHAFT],4,35.00,2023-02-21,Completed
46406,1,695T7002,695T7002 [LEFT HAND SCREW ROD],2,390.00,2018-08-16,Completed
76248,1,N054085,N054085 [PISTON HEAD],1,1150.00,2020-05-07,Completed
76248,2,H319551,H319551 [SEAT C2G16],1,2365.00,2020-05-07,Completed
76248,3,Y074129,Y074129 [FLANGE FOR C2G16],1,475.00,2020-05-07,Completed
28446,1,Y042138,Y042138 [LINK C ],2,475.00,2017-09-15,Completed
28446,2,609T1002,609T1002 [LINK PIN BUSHING],2,495.00,2017-09-15,Completed
35371,1,Y067485,Y067485 [SPACER],1,255.00,2018-01-22,Completed
30547,1,4T122502,4T122502 [LEFT SCREW BOLT],2,42.50,2017-11-03,Completed
45872,1,8X20BS,8X20BS [BRASS SCREWS],12,2.50,2018-07-16,Completed
45872,2,Y042157,Y042157 [BUSHING],2,495.00,2018-07-16,Completed
134721,1,TMK0026,TMK0026 [LINK PIN 1 EC130SX],5,725.00,2024-04-24,Completed
134721,2,TML0088,TML0088 [SAFETY GATE ROLLER EC55 -250SX BOTTOM FLAT SUR],10,50.00,2024-04-24,Completed
134047,1,TMK0038,TMK0038 [ LINK PIN 2 EC130SX ],7,485.00,2024-04-12,Completed
73697,1,N071871,N071871 [GUIDE],1,750.00,2020-02-11,Completed
73697,2,N071947,N071947 [PISTON ROD],1,725.00,2020-02-11,Completed
141625,1,Y020046,Y020046 [SLIDE PLATE DC135H- T],2,350.00,2024-09-20,Completed
141625,2,647W6502,647W6502 [SLIDE PLATE DC650JM-S],1,420.00,2024-09-20,Completed
141625,3,438S5702,438S5702[SPACER],2,295.00,2024-09-20,Completed
141625,4,H323581,H323581 [INJECTION BUSHING],1,1875.00,2024-09-20,Completed
141625,5,N066875,N066875[ BUSHING],1,2350.00,2024-09-20,Completed
54214,1,9T840201,9T840201 [BRONZE LINER DC3500CS],1,3800.00,2018-12-26,Completed
102720,1,388W45-11,388W45-11 [EJECTOR ROD WIRE TYPE FOR DC3500CS],1,1475.00,2022-03-09,Completed
27588,1,Y124044,Y124044 [ROLLER],4,355.00,2017-09-11,Completed
27588,2,Y124045,Y124045 [SHAFT],4,275.00,2017-09-11,Completed
65036,1,408S4503,408S4503 [ HAND ],2,585.00,2019-09-02,Completed
65036,2,408S4504,408S4504 [HAND],2,585.00,2019-09-02,Completed
23077,1,4T448001,4T448001 [LEFT SCREW NUT SAME AS P/N 4T44801],2,10.00,2017-06-07,Completed
23077,2,Y006502,Y006502 [SPACER],1,105.00,2017-06-07,Completed
23077,3,Y006291,Y006291 [SPROCKET],1,365.00,2017-06-07,Completed
23077,4,611V6701,611V6701 [ELECTRODE PROBE],5,81.75,2017-06-07,Completed
23077,5,Y006298,Y006298 [BEACASE],2,295.00,2017-06-07,Completed
26669,1,4T124201,4T124201 [SPROCKET],2,75.00,2017-07-25,Completed
110481,1,LMH0112,LMH0112 [TIE BAR FOR EC110SX]  ,1,2350.00,2022-09-16,Completed
113188,1,388W45-12,388W45-12 [EJECTOR ROD SOLID TYPE FOR DC3500CS],2,1175.00,2022-12-14,Completed
113188,2,388W45-11,388W45-11 [EJECTOR ROD WIRE TYPE FOR DC3500CS],2,1475.00,2022-12-14,Completed
133258,1,H214355,H214355 [SHUT OFF NOZZLE BODY M80 X M80],1,2050.00,2024-04-05,Completed
133258,2,L500196,L500196 [SHUT OFF NOZZLE PIN],1,1250.00,2024-04-05,Completed
133258,3,L500198,L500198 [SHUT OFF NOZZLE BODY M80 X M80],1,1100.00,2024-04-05,Completed
133258,4,L594412,L594412 [SHAFT O.A.L. 790MM],1,675.00,2024-04-05,Completed
133258,5,S453023,S453023 [WASHER],2,50.00,2024-04-05,Completed
133258,6,S453040,S453040 [ROD M12 37MM OAL],2,80.00,2024-04-05,Completed
133258,7,S543819,S543819 [BRACKET FOR SHUT OFF NOZZLE],1,445.00,2024-04-05,Completed
133258,8,S543820,S543820 [PLATE],4,60.00,2024-04-05,Completed
133258,9,S543821,S543821 [SHAFT FOR SHUT OFF NOZZLE 65MM OAL],1,170.00,2024-04-05,Completed
133258,10,S543823,S543823 [LINK],1,250.00,2024-04-05,Completed
133258,11,S773266,S773266 [PLATE],1,425.00,2024-04-05,Completed
117896,1,N016161,N016161 [FLANGE BUSHING],1,5715.00,2023-04-19,Completed
114195,1,N033940,N033940 [CYLINDER],1,1250.00,2023-01-09,Completed
89897,1,N049364,N049364 [LADLE SHAFT],1,1250.00,2021-04-08,Completed
147334,1,N064799,N064799 [SHAFT],4,865.00,2025-02-21,Completed
108423,1,9T596001,9T596001 [GUIDE SHAFT SUPPORT],2,1100.00,2022-08-04,Completed
151556,1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT],2,2325.00,2025-05-09,Completed
151556,3,Y069318,Y069318 [PLUNGER ROD],1,810.00,2025-05-09,Completed
158200,1,LMT1211,LMT1211[PIN HOLDER ECSXIII i36],1,975.00,2025-09-22,Completed
158200,2,S438101,S438101 [SPLIT COLLAR IS EC SX I59 I61],2,415.00,2025-09-22,Completed
158200,3,S638725,S638725 [CLAMP WEAR STRIP EC65 NON OP 1494MM X 92MM ],1,335.00,2025-09-22,Completed
110278,1,H303744,H303744 [EJECTOR PLATE C],1,3025.00,2022-10-03,Completed
113771,1,M174430,M174430-R1 [FLANGE L32] M174430-R1 [FLANGE L32],2,245.00,2022-12-27,Completed
105885,1,6S331401,6S331401 [ARM SHAFT FOR DTO650~800L],2,960.00,2022-06-02,Completed
105885,2,6S331301,6S331301 [GUIDE SHAFT],2,725.00,2022-06-02,Completed
105885,3,6S331801,6S331801 [SPROCKET FOR DTO650~800L],2,275.00,2022-06-07,Completed
105885,4,6S331803,6S331803 [SPROCKET FOR DTO650~800L],2,275.00,2022-06-07,Completed
