Ln,Part,Description,Due Date,Qty, Unit Price ,Order Date,Total_Value,PO_Number
1,438S5707,438S5707 [SPACER FOR PLUNGER UNIT],2018-06-13,1,310,2018-05-16,310,43230
1,9W331301,9W331301 [COVER FOR DC500J- MS],2021-11-10,1,325,2021-10-06,4725,98408
2,9W331104,9W331104 [GUIDE SHAFT DBS500~800MS],2021-11-10,2,2200,2021-10-06,4725,98408
1,Y132076,Y132076 [ELECTRODE PROBE CHROME],2022-06-06,8,65,2022-05-02,520,106036
1,S571163,S571163 [LINER FOR S-SHAFT],2023-02-21,4,35,2023-02-06,140,116225
1,695T7002,695T7002 [LEFT HAND SCREW ROD],2018-08-16,2,390,2018-07-19,780,46406
1,N054085,N054085 [PISTON HEAD],2020-05-07,1,1150,2020-04-02,3990,76248
2,H319551,H319551 [SEAT C2G16],2020-05-07,1,2365,2020-04-02,3990,76248
3,Y074129,Y074129 [FLANGE FOR C2G16],2020-05-07,1,475,2020-04-02,3990,76248
1,Y042138,Y042138 [LINK C ],2017-09-15,2,475,2017-08-15,1940,28446
2,609T1002,609T1002 [LINK PIN BUSHING],2017-09-15,2,495,2017-08-15,1940,28446
1,Y067485,Y067485 [SPACER],2018-01-22,1,255,2017-12-22,255,35371
1,4T122502,4T122502 [LEFT SCREW BOLT],2017-11-03,2,42.5,2017-09-25,85,30547
1,8X20BS,8X20BS [BRASS SCREWS],2018-07-16,12,2.5,2018-07-09,1020,45872
2,Y042157,Y042157 [BUSHING],2018-07-16,2,495,2018-07-09,1020,45872
1,TMK0026,TMK0026 [LINK PIN 1 EC130SX],2024-04-24,5,725,2024-03-19,4125,134721
2,TML0088,TML0088 [SAFETY GATE ROLLER EC55 -250SX BOTTOM FLAT SUR,2024-04-24,10,50,2024-03-19,4125,134721
1,TMK0038,TMK0038 [ LINK PIN 2 EC130SX ],2024-04-12,7,485,2024-03-06,3395,134047
1,N071871,N071871 [GUIDE],2020-02-11,1,750,2020-02-04,1475,73697
2,N071947,N071947 [PISTON ROD],2020-02-11,1,725,2020-02-04,1475,73697
1,Y020046,Y020046 [SLIDE PLATE DC135H- T],2024-09-20,2,350,2024-08-16,5935,141625
