Ln,Part,Description,Due Date,Qty,Amount,Unit Price,Extended Price,Order Date,Grand Total,PO
1,Y040402,"Y040402 [LINER BRONZE DC350J]
*QUOTE: 9877
*DELIVERY: 4 WEEKS",6/1/2017,4.00,0.00,1100.00,4400.00,05/04/2017,4400.0,00022775
1,4T448001,4T448001 [LEF SAME AS P/N *QUOTE: 965 *DELIVERY: 4,4T448001 [LEF,T SCREW NUT,6/7/,2017,,05/10/2017,1488.75,00023077
2,Y006502,Y006502 [SPA *QUOTE; 102 *DELIVERY: 3,Y006502 [SPA,CER],6/7/,2017,,05/10/2017,1488.75,00023077
3,Y006291,Y006291 [SPR *QUOTE: 102 *DELIVERY: 4,Y006291 [SPR,OCKET],6/7/,2017,,05/10/2017,1488.75,00023077
4,611V6701,611V6701 [ELE *QUOTE: 946 *DELIVERY: 4,611V6701 [ELE,CTRODE PROBE],6/7/,2017,,05/10/2017,1488.75,00023077
5,Y006298,"Y006298 [BEA *QUOTE: 102 *DELIVERY: 4 upervisor, Par //www.toshiba /2017 3:52 PM",Y006298 [BEA,CASE],6/7/,2017,,05/10/2017,1488.75,00023077
1,Y152202,"Y152202 [SLIDE PLATE DC350R-
M]
*QUOTE: 11671
*DELIVERY: 4 WEEKS FROM PO
DATE",1/6/2021,4.00,0.00,275.00,1100.00,12/09/2020,1100.0,00086229
1,Y143830,Y143830 [SHAFT],12/1,/2021,,EA,,10/27/2021,2815.0,00099150
2,Y143831,Y143831 [COUPLING],12/1,/2021,,EA,,10/27/2021,2815.0,00099150
3,Y143832,Y143832 [SHAFT],12/1,/2021,,EA,,10/27/2021,2815.0,00099150
4,Y143833,"Y143833 [SHAFT] *QUOTE: 12203 *DELIVERY: 5 WEEKS FROM PO DATE upervisor, Parts Sales, DC - 10/27/20 s://shibaura-machine.com/business-te /2021 4:50 PM D0",12/1,/2021,,EA,,10/27/2021,2815.0,00099150
