Ln,Part,Description,Due Date,Qty,Amount,Unit Price,Extended Price,Order Date,Grand Total,PO
1,4T448001,4T448001 [LEF,,2017,0,2.00,0.00,05/10/2017,1488.75,00023077
2,Y006502,Y006502 [SPA,,2017,0,1.00,0.00,05/10/2017,1488.75,00023077
3,Y006291,Y006291 [SPR,,2017,0,1.00,0.00,05/10/2017,1488.75,00023077
4,611V6701,611V6701 [ELE,,2017,0,5.00,0.00,05/10/2017,1488.75,00023077
5,Y006298,Y006298 [BEA,,2017,0,2.00,0.00,05/10/2017,1488.75,00023077
1,Y143830,Y143830 [SHAFT],,1.00,0,0.00,295.00,10/27/2021,2815.0,00099150
2,Y143831,Y143831 [COUPLING],,2.00,0,0.00,465.00,10/27/2021,2815.0,00099150
3,Y143832,Y143832 [SHAFT],,1.00,0,0.00,1175.00,10/27/2021,2815.0,00099150
4,Y143833,Y143833 [SHAFT],,1.00,0,0.00,415.00,10/27/2021,2815.0,00099150
1,Y152202,Y152202 [SLIDE PLATE DC350R- M] DATE EA,1/6/2021,4.00,0,0.00,275.00,12/09/2020,1100.0,00086229
1,L481902,L481902 [SCREW TIP WRENCH 60MM ISF - ECSXII 17A 17AT 19A 19A,3/28/2025,1.00,0,225.00,225.00,02/11/2025,5075.0,00149288
2,TMW0002,TMW0002 [LINK PIN 1 EC950SX],3/28/2025,2.00,0,2425.00,4850.00,02/11/2025,5075.0,00149288
1,Y040402,Y040402 [LINER BRONZE DC350J],6/1/2017,4.00,0,0.00,1100.00,05/04/2017,4400.0,00022775
1,N066879,N066879 [POPPET C2G16],5/8/2020,1.00,0,1795.00,1795.00,04/03/2020,2920.0,00076286
2,N066878,N066878 [PISTON ROD C2G16],5/8/2020,1.00,0,1125.00,1125.00,04/03/2020,2920.0,00076286
