Ln,Part,Description,Due Date,Qty,Amount,Unit Price,Extended Price,Order Date,Grand Total,PO
1,438S5707,438S5707 [SPACER FOR PLUNGER UNIT] *DELIVERY; 4 WEEKS FROM PO DATE,6/13/2018,1.00,0,0.00,310.00,05/16/2018,310.0,00043230
1,Y132076,Y132076 [ELECTRODE PROBE CHROME] DATE,6/6/2022,8.00,0,0.00,65.00,05/02/2022,520.0,00106036
1,S571163,S571163 [LINER FOR S-SHAFT] DATE,2/21/2023,4.00,0,0.00,35.00,02/06/2023,140.0,00116225
1,695T7002,695T7002 [LEFT HAND SCREW ROD] DATE,8/16/2018,2.00,0,0.00,390.00,07/19/2018,780.0,00046406
1,N054085,N054085 [PISTON HEAD],,2020,0,1.00,0.00,04/02/2020,3990.0,00076248
2,H319551,H319551 [SEAT C2G16],,2020,0,1.00,0.00,04/02/2020,3990.0,00076248
3,Y074129,Y074129 [FLANGE FOR C2G16],,2020,0,1.00,0.00,04/02/2020,3990.0,00076248
1,Y042138,Y042138 [LINK C ],,,0,2.00,950.00,08/15/2017,1940.0,00028446
2,609T1002,609T1002 [LINK PIN BUSHING],,,0,2.00,990.00,08/15/2017,1940.0,00028446
1,Y067485,Y067485 [SPACER] * DATE**,1/22/2018,1.00,0,0.00,255.00,12/22/2017,255.0,00035371
1,4T122502,4T122502 [LEFT SCREW BOLT] DATE,11/3/2017,2.00,0,0.00,42.50,09/25/2017,85.0,00030547
1,8X20BS,8X20BS [BRASS SCREWS],,,0,12.00,30.00,07/09/2018,1020.0,00045872
2,Y042157,Y042157 [BUSHING],,,0,2.00,990.00,07/09/2018,1020.0,00045872
1,TMK0038,TMK0038 [ LINK PIN 2 EC130SX ] DATE,4/12/2024,7.00,0,0.00,485.00,03/06/2024,3395.0,00134047
1,Y020046,Y020046 [SLIDE PLATE DC135H-,,2.00,0,0.00,350.00,08/16/2024,5935.0,00141625
2,647W6502,647W6502 [SLIDE PLATE,,1.00,0,0.00,420.00,08/16/2024,5935.0,00141625
3,438S5702,438S5702[SPACER],,2.00,0,0.00,295.00,08/16/2024,5935.0,00141625
4,H323581,H323581 [INJECTION BUSHING],,1.00,0,0.00,1875.00,08/16/2024,5935.0,00141625
5,N066875,N066875[ BUSHING],,1.00,0,0.00,2350.00,08/16/2024,5935.0,00141625
1,9T840201,"9T840201 [BRONZE LINER DC3500CS] *DELIVERY; 2 WEEKS FROM PO DATE- NEEDS TO BE DELIVERED TO TMA BY DECEMBER 26, 2018",12/26/2018,1.00,0,0.00,3800.00,12/12/2018,3800.0,00054214
1,388W45-11,388W45-11 [EJECTOR ROD WIRE TYPE FOR DC3500CS] DATE,3/9/2022,1.00,0,0.00,1475.00,02/02/2022,1475.0,00102720
1,Y124044,Y124044 [ROLLER],,,0,4.00,1420.00,08/02/2017,2520.0,00027588
2,Y124045,Y124045 [SHAFT],,,0,4.00,1100.00,08/02/2017,2520.0,00027588
1,408S4503,408S4503 [ HAND ],,2019,0,2.00,1170.00,07/30/2019,2340.0,00065036
2,408S4504,408S4504 [HAND],,2019,0,2.00,1170.00,07/30/2019,2340.0,00065036
1,4T448001,4T448001 [LEF,,2017,0,2.00,0.00,05/10/2017,1488.75,00023077
2,Y006502,Y006502 [SPA,,2017,0,1.00,0.00,05/10/2017,1488.75,00023077
3,Y006291,Y006291 [SPR,,2017,0,1.00,0.00,05/10/2017,1488.75,00023077
4,611V6701,611V6701 [ELE,,2017,0,5.00,0.00,05/10/2017,1488.75,00023077
5,Y006298,Y006298 [BEA,,2017,0,2.00,0.00,05/10/2017,1488.75,00023077
1,4T124201,4T124201 [SPROCKET],7/25/2017,2.00,0,0.00,75.00,07/18/2017,150.0,00026669
1,LMH0112,LMH0112 [TIE BAR FOR EC110SX] DATE **NEED ASAP**,9/16/2022,1.00,0,0.00,2350.00,08/26/2022,2350.0,00110481
1,H214355,H214355 [SHU,,2024,0,1.00,0.00,02/20/2024,6865.0,00133258
2,L500196,L500196 [SHU,,2024,0,1.00,0.00,02/20/2024,6865.0,00133258
3,L500198,L500198 [SHU,,2024,0,1.00,0.00,02/20/2024,6865.0,00133258
4,L594412,L594412 [SHA,,2024,0,1.00,0.00,02/20/2024,6865.0,00133258
5,S453023,S453023 [WAS,,2024,0,2.00,0.00,02/20/2024,6865.0,00133258
6,S453040,S453040 [ROD,,2024,0,2.00,0.00,02/20/2024,6865.0,00133258
7,S543819,S543819 [BRA,,2024,0,1.00,0.00,02/20/2024,6865.0,00133258
8,S543820,S543820 [PLA,,2024,0,4.00,0.00,02/20/2024,6865.0,00133258
9,S543821,S543821 [SHA,,2024,0,1.00,0.00,02/20/2024,6865.0,00133258
10,S543823,S543823 [LINK,,2024,0,1.00,0.00,02/20/2024,6865.0,00133258
11,S773266,S773266 [PLA,,2024,0,1.00,0.00,02/20/2024,6865.0,00133258
1,N016161,N016161 [FLANGE BUSHING] DATE,4/19/2023,1.00,0,0.00,5715.00,03/14/2023,5715.0,00117896
1,N033940,N033940 [CYLINDER] DATE,1/9/2023,1.00,0,0.00,1250.00,12/05/2022,1250.0,00114195
1,N049364,N049364 [LADLE SHAFT] DATE,4/8/2021,1.00,0,0.00,1250.00,03/04/2021,1250.0,00089897
1,N064799,N064799 [SHAFT],2/21/2025,4.00,0,0.00,865.00,12/27/2024,3460.0,00147334
1,9T596001,9T596001 [GUIDE SHAFT SUPPORT] DATE,8/4/2022,2.00,0,0.00,1100.00,06/30/2022,2200.0,00108423
1,LMT1211,LMT1211[PIN H,,1.00,0,0.00,975.00,08/13/2025,2140.0,00158200
2,S438101,S438101 [SPLIT,,2.00,0,0.00,415.00,08/13/2025,2140.0,00158200
3,S638725,S638725 [CLAM,,1.00,0,0.00,335.00,08/13/2025,2140.0,00158200
1,H303744,H303744 [EJECTOR PLATE C],10/3/2022,1.00,0,0.00,3025.00,08/22/2022,3025.0,00110278
1,M174430,M174430-R1 [FLANGE L32] M174430-R1 [FLANGE L32],12/27/2022,2.00,0,0.00,245.00,11/22/2022,490.0,00113771
1,6S331401,6S331401 [ARM SHAF,,2022,0,2.00,0.00,04/28/2022,4470.0,00105885
2,6S331301,6S331301 [GUIDE SHA,,2022,0,2.00,0.00,04/28/2022,4470.0,00105885
3,6S331801,6S331801 [SPROCKET,,2022,0,2.00,0.00,04/28/2022,4470.0,00105885
4,6S331803,6S331803 [SPROCKET,,2022,0,2.00,0.00,04/28/2022,4470.0,00105885
1,Y020020,Y020020 [SHAFT] DATE,3/30/2023,1.00,0,0.00,340.00,03/01/2023,340.0,00117259
1,TKH0047,TKH0047[SHOE LINER,,2.00,0,0.00,525.00,08/21/2024,2790.0,00141779
2,TMV0042,TMV0042 [CLAMP WE,,2.00,0,0.00,475.00,08/21/2024,2790.0,00141779
3,TMV0198,TMV0198 [CLAMP WE,,2.00,0,0.00,395.00,08/21/2024,2790.0,00141779
1,TKL0034,TKL0034 [EJECTOR GUIDE BAR EC160N] TKL0034 [EJECTOR GUIDE BAR EC160N],12/5/2022,1.00,0,0.00,595.00,10/20/2022,595.0,00112447
